symptom,label,level
stroke signs,3,Emergency
penetrating wound arm,2,Serious
asthma attack,2,Serious
compartment syndrome abdomen,3,Emergency
moderate bleeding face,2,Serious
deep laceration eye,2,Serious
shock,3,Emergency
deep laceration ear,2,Serious
strain head,1,Minor
crush injury hip moderate,2,Serious
